Title,Year,IMDb Rating,Runtime,Votes
213. Maharaja,2024,8.4 (65K),2h 21m, (65K
214. Rocky,1976,8.1 (654K),2h, (654K
215. Tokyo Story,1953,8.1 (73K),2h 17m, (73K
216. The Big Lebowski,1998,8.1 (885K),1h 57m, (885K
217. Spotlight,2015,8.1 (516K),2h 9m, (516K
218. The Seventh Seal,1957,8.1 (206K),1h 36m, (206K
219. The Terminator,1984,8.1 (957K),1h 47m, (957K
220. Room,2015,8.1 (465K),1h 58m, (465K
221. Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1 (1.3M),2h 23m, (1.3M
222. La haine,1995,8.1 (209K),1h 38m, (209K
223. Hotel Rwanda,2004,8.1 (382K),2h 1m, (382K
224. Platoon,1986,8.1 (452K),2h, (452K
225. Jai Bhim,2021,8.7 (224K),2h 44m, (224K
226. Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,8.6 (30K),1h 27m, (30K
227. Before Sunset,2004,8.1 (300K),1h 20m, (300K
228. The Best Years of Our Lives,1946,8.1 (74K),2h 50m, (74K
229. The Passion of Joan of Arc,1928,8.1 (64K),1h 54m, (64K
230. The Exorcist,1973,8.1 (474K),2h 2m, (474K
231. The Wizard of Oz,1939,8.1 (447K),1h 42m, (447K
232. The Incredibles,2004,8.0 (846K),1h 55m, (846K
233. The Sound of Music,1965,8.1 (273K),2h 52m, (273K
234. Rush,2013,8.1 (530K),2h 3m, (530K
235. Hachi: A Dog's Tale,2009,8.1 (325K),1h 33m, (325K
236. Stand by Me,1986,8.1 (460K),1h 29m, (460K
237. Network,1976,8.1 (177K),2h 1m, (177K
238. My Father and My Son,2005,8.2 (96K),1h 52m, (96K
239. The Handmaiden,2016,8.1 (185K),2h 25m, (185K
240. The Iron Giant,1999,8.1 (241K),1h 26m, (241K
241. To Be or Not to Be,1942,8.1 (46K),1h 39m, (46K
242. The Battle of Algiers,1966,8.1 (70K),2h 1m, (70K
243. Into the Wild,2007,8.1 (675K),2h 28m, (675K
244. The Grapes of Wrath,1940,8.1 (103K),2h 9m, (103K
245. Groundhog Day,1993,8.0 (711K),1h 41m, (711K
246. The Help,2011,8.1 (509K),2h 26m, (509K
247. A Silent Voice: The Movie,2016,8.1 (116K),2h 10m, (116K
248. Amores Perros,2000,8.0 (259K),2h 34m, (259K
249. Rebecca,1940,8.1 (152K),2h 10m, (152K
250. Gangs of Wasseypur,2012,8.2 (107K),5h 21m, (107K
